PatientID,FirstName,MiddleInitial,LastName,Address_Line1,Address_Line2,ZipCode,Phone_Home,Phone_Alternate,Email
1,Simon,K,Peter,2973 Lincoln Street,Apt. 15A,24501,(434) 246-6143,NULL,SimonKPeter@rhyta.com
2,James,NULL,Greater,2074 Owen Lake Road,NULL,24562,(434) 243-1357,NULL,NULL
3,John,L,Nathan,976 Stroop Hill Road,NULL,24561,(540) 161-3517,NULL,JohnLNathan@rhyta.com
4,Andrew,NULL,Pop,1557 Crowfield Road,NULL,24562,(434) 161-6787,NULL,NULL
5,Philip,NULL,Beth,2689 Woodridge Lane,NULL,24503,(434) 362-4963,(434) 827-4514,NULL
6,Thomas,NULL,Didymus,377 Midway Road,Suite 143,24502,(434) 359-5268,(434) 584-3251,NULL
7,Bartholomew,S,Nathaniel,4383 Walt Nuzum Farm Road,NULL,24501,(434) 737-5689,(434) 896-4489,BartholomewSNathaniel@rhyta.com
8,Matthew,G,Levi,282 Gerald L. Bates Drive,NULL,24562,(434) 188-6821,(434) 463-5965,MatthewGLevi@armyspy.com
9,James,H,Alphaeus,2144 Todds Lane,NULL,24551,(434) 861-4668,(434) 286-5715,JamesHAlphaeus@teleworm.us
10,Simon,NULL,Zealot,249 Aaron Smith Drive,NULL,24550,(540) 826-4958,NULL,NULL
11,Thaddaeus,NULL,Lebbaeus,870 Bird Spring Lane,NULL,24503,(434) 217-4494,(434) 899-7322,NULL
12,Judas,M,Iscariot,1557 Farland Avenue,NULL,78229,(434) 331-2973,NULL,JudasMIscariot@rhyta.com
13,Aaron,M,Lofer,4057 Fannie Street,NULL,24561,(540) 737-2434,(540) 559-6584,AaronMLofer@dayrep.com
14,Moses,L,Ramser,4682 Ritter Avenue,NULL,24550,(540) 992-5999,(540) 178-4559,MosesLRamser@dayrep.com
15,Abednego,NULL,Nebo,3588 Cooks Mine Road,NULL,24502,(434) 222-6428,(434) 159-2495,AbednegoJNebo@armyspa.com
16,Jacob,NULL,Smalls,253 Oak Lane,NULL,24562,(434) 713-4376,(434) 648-7435,NULL
17,Jean,NULL,Ericssson,241 Sycamore Grove,NULL,24551,(434) 392-7961,(434) 395-6914,NULL
18,Gerald,NULL,Madison,4455 Grove Mill Rd.,NULL,24550,(540) 983-5342,NULL,Gerald.Madison@gmail.com
19,Opra,NULL,Lincoln,4321 E. Cumberland Rd.,NULL,24503,(434) 269-5152,(434) 323-7636,Opra.Lincoln@gmail.com
20,Dinah,NULL,Washington,4319 W. Main St.,NULL,78229,(434) 295-6541,NULL,Dinah.Washington@gmail.com
21,Hannah,NULL,Thomas,47500 Elm Street,NULL,24561,(540) 257-2586,NULL,NULL
22,Heather,NULL,Jefferson,693 Hope Rd.,NULL,24550,(540) 198-1382,NULL,NULL
23,Craig,NULL,Cooper,1336 Thompson Lane,NULL,24502,(434) 392-1876,NULL,NULL
24,Daniel,NULL,Potts,4528 Brookstone Lane,NULL,24501,(434) 549-2352,(434) 359-7193,Daniel.Potts@gmail.com
25,Jill,NULL,Overstreet,4774 Rocky Branch Rd.,NULL,24562,(434) 971-4317,(434) 279-8143,Jill.Overstreet@gmail.com
26,Hope,NULL,Tucker,47 Peyton Place,NULL,24561,(540) 454-7652,(540) 198-9724,Hope.Tucker@gmail.com
27,Faith,NULL,Shaneck,54 Sweeney Circle,NULL,24562,(434) 714-7698,NULL,Faith.Shaneck@gmail.com
28,Joy,NULL,Petit,5869 Bateman Bridge Rd.,NULL,24503,(434) 145-7657,(434) 667-8468,Joy.Petit@gmail.com
29,Linda,NULL,Holms,587 Thomas Jefferson Rd.,NULL,24502,(434) 289-3341,(434) 693-5956,Linda.Holms@gmail.com
30,Melissa,NULL,Holt,458 Waterlick Rd.,NULL,24501,(434) 276-1859,NULL,Melissa.Holt@gmail.com
31,Samantha,NULL,Sones,89 Timberlake Rd.,NULL,24503,(434) 474-3247,NULL,Samantha.Sones@gmail.com
32,Stephen,NULL,Sanders,110 Lakeside Drive,NULL,24502,(434) 355-6639,(434) 175-4946,Stephen.Sanders@gmail.com
33,Trever,NULL,Simpson,458 Brookstone Mill Rd.,NULL,24501,(434) 457-6512,NULL,Trever.Simpson@gmail.com
34,Charles,NULL,Yates,855 Plum Branch Rd.,NULL,24562,(434) 645-3115,(434) 954-7772,Charles.Yates@gmail.com
35,Brian,NULL,Bateman,859 Deer Run,NULL,24551,(434) 376-8596,(434) 668-5774,Brian.Bateman@gmail.com
36,Jeff,NULL,Pyle,698 Plum Branch Rd.,NULL,24550,(540) 625-5119,(540) 263-8745,Jeff.Pyle@gmail.com
37,Joan,NULL,Thornton,569 Booth Road,NULL,24503,(434) 456-7118,NULL,Joan.Thornton@gmail.com
38,Theresa,NULL,Thorn,456 East 49th St.,P.O. Box 1433,78229,(434) 295-3578,(434) 766-4863,NULL
39,Tom,NULL,Lambert,458 Park Place,NULL,24503,(434) 389-2429,(434) 878-8235,Tom.Lambert@gmail.com
40,Alex,NULL,Grayson,569 Reading Lane,NULL,24502,(434) 888-2447,NULL,Alex.Grayson@gmail.com
41,Jon,NULL,Burress,8589 Pollock Ave.,NULL,24501,(434) 431-4123,NULL,Jon.Burress@gmail.com
42,Bonnie,NULL,Hopkins,45687 Pennsylvania St.,NULL,24562,(434) 985-9161,(434) 837-6768,NULL
43,Alfred,NULL,Fontaine,5468 12th Street,NULL,24551,(434) 825-9373,NULL,Alfred.Fontaine@gmail.com
44,Fred,NULL,Bray,4568 Forbidden Lane,NULL,24550,(540) 354-7896,NULL,Fred.Bray@gmail.com
45,Murray,NULL,Bolt,"6548 Oakley Ave,",NULL,24503,(434) 786-7628,(434) 128-4762,Murray.Bolt@gmail.com
46,Evelyn,NULL,Burgess,698 Forks Crossing,NULL,78229,(434) 748-5554,(434) 973-8771,Evelyn.Burgess@gmail.com
47,Mildred,NULL,McDowell,4567 River Road,NULL,24561,(540) 142-3689,NULL,NULL
48,Peggy,NULL,Thompson,8468 Daisy Circle,Apt. 6654,24550,(540) 732-2641,(540) 594-5376,Peggy.Thompson@gmail.com
49,Crockett,NULL,Jones,6547 Lamp Rd.,NULL,24502,(434) 777-3272,(434) 386-8947,Crockett.Jones@gmail.com
50,Richard,NULL,Miller,8796 Desk Drive,NULL,24501,(434) 182-4532,(434) 292-9179,Richard.Miller@gmail.com
51,Randall,NULL,Mason,87458 Glass Lane,NULL,24562,(434) 775-7383,NULL,Randall.Mason@gmail.com
52,Michael,NULL,Crankshaw,87986 Edison Ave.,NULL,24561,(540) 125-2269,NULL,NULL
53,Karen,NULL,Hobbs,6548 Einstien Crossing,P.O. Box 7775,24562,(434) 656-1779,(434) 349-5956,Karen.Hobbs@gmail.com
54,Scott,NULL,Hudson,87654 Lucky Lane,NULL,24503,(434) 723-3829,NULL,Scott.Hudson@gmail.com
55,Emily,NULL,Larson,56487 Lee Highway,NULL,24502,(434) 698-1681,NULL,Emily.Larson@gmail.com
56,Juliana,NULL,Dobbins,6548 Concord Turnpike,NULL,24501,(434) 564-4677,(434) 151-9599,Juliana.Dobbins@gmail.com
57,Dylan,NULL,Phillips,86879 Timberlake Rd.,NULL,24561,(540) 531-1234,NULL,Dylan.Phillips@gmail.com
58,Laura,NULL,Brooks,6548 New Jersey Turnpike,Apt. 2,24550,(540) 454-8529,(540) 635-1335,NULL
59,Laurie,NULL,Bradley,6874 Asotria Ave,NULL,24502,(434) 534-4745,(434) 296-9852,Laurie.Bradley@gmail.com
60,Jamees,NULL,Bradey,6547 East 54th St.,NULL,24501,(434) 362-6891,NULL,Jamees.Bradey@gmail.com
61,William,NULL,Lowe,658 8th Ave.,NULL,24562,(434) 936-2132,NULL,William.Lowe@gmail.com
62,Sharon,NULL,Williams,65467 Main St.,NULL,24561,(540) 923-7952,(540) 173-9226,Sharon.Williams@gmail.com
63,Cassandra,NULL,Ward,6548 Madison Sq. Garden,NULL,24562,(434) 453-1619,(434) 716-7959,NULL
64,Ramon,NULL,Buenas,6548 Plymoth Rd.,NULL,24503,(434) 319-9423,(434) 651-6578,NULL
65,Rachel,NULL,Hopkins,98796 Boston Drive,NULL,24502,(434) 685-3345,(434) 951-6587,Rachel.Hopkins@gmail.com
66,Ricardo,NULL,Macon,65498 Harbor Lane,NULL,24501,(434) 387-5986,(434) 497-7641,Ricardo.Macon@gmail.com
67,Sandra,NULL,Hill,9871 East Trinity,NULL,24502,(434) 217-7849,NULL,Sandra.Hill@gmail.com
68,Susan,NULL,Delancy,98796 Three Forks Rd,NULL,24501,(434) 185-2916,(434) 538-8223,NULL
69,Sally,NULL,Susman,8756 Green Acres Lane,NULL,24562,(434) 262-6193,(434) 458-9131,Sally.Susman@gmail.com
70,Barney,NULL,Wellman,8765 New York Ave.,Apt. 32-7,24551,(434) 384-7271,NULL,NULL
71,Everette,NULL,Adams,876 Bobcat Lane,NULL,24550,(540) 756-6342,(540) 199-3294,Everette.Adams@gmail.com
72,Denise,NULL,Abrams,87516 Charlie Ave.,NULL,24503,(434) 132-6836,(434) 219-3265,Denise.Abrams@gmail.com
73,Barbara,NULL,Daniely,6548 David Place,NULL,24502,(434) 192-3382,(434) 338-4751,NULL
