PhysicianID,FirstName,LastName,PracticeID,SpecialtyID,Email
1,Betty,Pletke,15,3,BPletke@gmail.com
2,Jim,Richards,20,14,JRichards@gmail.com
3,Blake,Collins,4,9,BCollins@gmail.com
4,David,Andrews,22,5,DAndrews@gmail.com
5,Bonnie,Jones,18,19,BJones@gmail.com
6,Earl,McDonald,24,6,EMcDonald@gmail.com
7,James,Kenan,12,31,JKenan@gmail.com
8,Clifton,Jameson,12,8,CJameson@gmail.com
9,Gregory,Johnson,4,19,GJohnson@gmail.com
10,Ray,Jeffries,4,11,RJeffries@gmail.com
11,Jonas,Allen,19,4,JAllen@gmail.com
12,Paul,Boman,2,13,PBoman@gmail.com
13,Kate,Cantrell,11,12,KCantrell@gmail.com
14,John,Roarke,1,24,JRoarke@gmail.com
15,Gary,Smith,16,24,GSmith@gmail.com
16,Henry,Gray,25,15,HGray@gmail.com
17,Linda,Gupta,23,20,LGupta@gmail.com
18,April,Hall,21,1,AHall@gmail.com
19,Larry,Harrison,12,19,LHarrison@gmail.com
20,Laurice,Henning,14,5,LHenning@gmail.com
21,Lisa,Hsu,6,1,LHsu@gmail.com
22,James,Ito,22,21,JIto@gmail.com
23,Keith,Jacobsen,5,21,KJacobsen@gmail.com
24,Andy,Kamath,14,25,AKamath@gmail.com
25,Walter,Jess,10,17,WJess@gmail.com
26,Oliver,Kay,7,28,OKay@gmail.com
27,Karen,Kantola,21,1,KKantola@gmail.com
28,Samuel,Johnson,23,23,SJohnson@gmail.com
29,Angela,Melton,6,1,AMelton@gmail.com
30,Jonathan,Mohan,4,26,JMohan@gmail.com
31,Debra,Moss,1,31,DMoss@gmail.com
32,James,Neumann,1,31,JNeumann@gmail.com
33,Donna,Lacroix,8,1,DLacroix@gmail.com
34,Jerry,Larson,15,13,JLarson@gmail.com
35,Daniel,Lynch,23,16,DLynch@gmail.com
36,Barbara,Merritt,24,14,BMerritt@gmail.com
37,Charles,Weihl,22,21,CWeihl@gmail.com
38,Everette,Knuth,15,23,EKnuth@gmail.com
39,Joanna,Kifer,6,1,JKifer@gmail.com
40,Wendy,Keller,14,25,WKeller@gmail.com
41,Patrick,O'Neil,6,1,PO'Neil@gmail.com
42,Deven,Ozsu,1,23,DOzsu@gmail.com
43,David,Paton,7,23,DPaton@gmail.com
44,Robert,Peterson,23,31,RPeterson@gmail.com
45,Scott,Pressman,14,3,SPressman@gmail.com
46,Martin,Ramsey,17,18,MRamsey@gmail.com
47,Susan,Quinlan,14,18,SQuinlan@gmail.com
48,Owen,Rivest,6,1,ORivest@gmail.com
49,Paul,Robie,14,18,PRobie@gmail.com
50,John,Rosenberry,13,13,JRosenberry@gmail.com
51,Preston,Roth,4,19,PRoth@gmail.com
52,Anthony,Ross,6,1,ARoss@gmail.com
53,Kimberly,Savnik,15,23,KSavnik@gmail.com
54,Erin,Schek,23,14,ESchek@gmail.com
55,Michael,Sciore,3,13,MSciore@gmail.com
56,Raymond,Reese,7,23,RReese@gmail.com
57,Steven,Stallman,6,1,SStallman@gmail.com
58,Rachel,Hendricks,26,2,RHendricks@gmail.com
59,Andrea,Allen,11,12,AAndrea@gmail.com
60,Alan,Brown,1,24,BAlan@gmail.com
61,Gloria,Bailey,16,24,BGloria@gmail.com
62,Timothy,Wilson,25,15,WTimothy@gmail.com
63,Benjamin,Coleman,23,20,CBenjamin@gmail.com
64,Rachel,Washington,21,1,WRachel@gmail.com
65,David,Simmons,12,19,SDavid@gmail.com
66,Kathy,Thomas,14,5,TKathy@gmail.com
67,Shirley,Price,6,1,PShirley@gmail.com
68,Howard,Parker,22,21,PHoward@gmail.com
69,Nancy,White,5,21,WNancy@gmail.com
70,Elizabeth,Kelly,14,25,KElizabeth@gmail.com
71,Edward,Martinez,10,17,MEdward@gmail.com
72,Albert,Flores,7,21,FAlbert@gmail.com
73,Eric,Ward,21,1,WEric@gmail.com
74,Barbara,Ross,23,23,RBarbara@gmail.com
75,Brian,Ramirez,6,1,RBrian@gmail.com
76,Laura,Russell,4,26,RLaura@gmail.com
77,Joyce,Martin,1,31,MJoyce@gmail.com
78,Matthew,Torres,1,31,TMatthew@gmail.com
79,Marie,Griffin,1,1,GMarie@gmail.com
80,Anne,Carter,15,13,CAnne@gmail.com
81,Julia,Phillips,23,16,PJulia@gmail.com
82,Rebecca,Powell,24,14,PRebecca@gmail.com
83,Chris,Walker,22,21,WChris@gmail.com
84,Eugene,Miller,15,23,MEugene@gmail.com
85,Harold,Anderson,6,1,AHarold@gmail.com
86,Andrew,Richardson,14,25,RAndrew@gmail.com
87,Ashley,Sanders,6,1,SAshley@gmail.com
88,Wanda,Morgan,1,23,MWanda@gmail.com
89,Daniel,Alexander,7,23,ADaniel@gmail.com
90,Peter,Moore,23,31,MPeter@gmail.com
91,Theresa,Rogers,14,3,RTheresa@gmail.com
92,Larry,Cook,14,18,CLarry@gmail.com
93,Jack,Lee,14,30,LJack@gmail.com
94,Cynthia,Rodriguez,6,1,RCynthia@gmail.com
95,Ryan,Hall,14,18,HRyan@gmail.com
96,Lois,Watson,4,13,WLois@gmail.com
97,Douglas,Morris,4,19,MDouglas@gmail.com
98,Ann,Garcia,6,1,GAnn@gmail.com
99,Lori,Hill,15,23,HLori@gmail.com
